@relation 'Loan_Default-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.Resample-S1-Z66.0-weka.filters.unsupervised.attribute.Remove-R1-9,13-17,19,21,23-27,29,32'

@attribute rate_of_interest numeric
@attribute Interest_rate_spread numeric
@attribute Upfront_charges numeric
@attribute construction_type {sb,mh}
@attribute Secured_by {home,land}
@attribute income numeric
@attribute LTV numeric
@attribute Security_Type {direct,Indriect}
@attribute Status {yes,no}

@data
4.99,0.4876,1150,sb,home,6660,68.305439,direct,no
4.75,0.5174,1642.81,sb,home,7200,94.856459,direct,no
?,?,?,sb,home,3660,44.881466,direct,yes
3.99,0.294,4175,sb,home,6720,79.109589,direct,no
3.75,0.1708,8390.42,sb,home,6060,61.003521,direct,no
3.5,0.0405,1606.2,sb,home,4200,90.303738,direct,no
4.99,0.4753,0,sb,home,8820,69.104803,direct,no
3.875,0.1727,0,sb,home,7740,85.614525,direct,no
4.99,1.2054,1922.38,sb,home,2340,69.957983,direct,no
3.375,-0.1931,320.85,sb,home,4980,59.948097,direct,no
3.125,0.0048,485.19,sb,home,8700,52.200704,direct,no
?,?,?,sb,home,3600,78.20122,direct,yes
?,?,?,sb,home,2820,91.330645,direct,yes
?,?,?,sb,home,2520,95.362903,direct,yes
?,?,?,sb,home,13080,94.730392,direct,yes
?,?,?,sb,home,2580,59.868421,direct,yes
?,?,?,sb,home,3480,87.202381,direct,yes
3.5,0.6213,7626.7,sb,home,8820,66.939252,direct,no
4.5,0.178,0,sb,home,2220,77.515723,direct,no
3.375,0.6488,10331.19,sb,home,9180,65.625,direct,no
3.375,-0.1613,4000,sb,home,5460,44.848901,direct,no
3.99,-0.108,0,sb,home,10140,74.68652,direct,no
3.75,0.2367,4760,sb,home,10380,77.877698,direct,no
4,0.212,0,sb,home,11460,52.870564,direct,no
5.125,0.5879,3940,sb,home,3240,60.551948,direct,no
3.625,-0.128,1625,sb,home,6780,71.055437,direct,no
3.75,0.2455,6278.92,sb,home,4560,65.410959,direct,no
3.875,0.5177,4120,sb,home,3660,73.989899,direct,no
3.75,0.0768,?,sb,home,3960,59.96144,direct,no
?,?,?,sb,home,4260,54.231771,direct,yes
4.5,0.978,4625,sb,home,1860,49.213836,direct,no
?,?,?,sb,home,2040,71.959459,direct,yes
3.99,0.38,395,sb,home,27960,74.562257,direct,no
?,?,?,sb,home,4440,77.412281,direct,yes
3.75,0.2364,280.45,sb,home,7440,95.305677,direct,no
?,?,?,sb,home,3240,52.906977,direct,yes
?,?,?,sb,home,12300,76.988636,direct,yes
4.75,0.7425,2771.8,sb,home,2640,90.137615,direct,no
3.75,0.2891,2411.25,sb,home,8400,86.073825,direct,no
4,0.4257,0,sb,home,5040,90.525114,direct,no
4.25,0.9371,3222,sb,home,1680,69.345238,direct,no
3.875,0.0538,1250,sb,home,3660,71.262887,direct,no
4.5,0.232,570,sb,home,2280,90.966387,direct,no
4.875,0.553,1375,sb,home,3960,80.857741,direct,no
4.875,1.0066,9140.63,sb,home,43560,74.497487,direct,no
3.99,0.6803,605.01,sb,home,2040,75.173611,direct,no
3.56,0.4283,447,sb,home,7380,39.262115,direct,no
3.99,0.4863,14865.56,sb,home,8100,73.867314,direct,no
3.625,0.165,1433.32,sb,home,8940,79.575893,direct,no
3.99,0.4273,4570.44,sb,home,6420,59.081197,direct,no
5.625,1.4967,9581.8,sb,home,5580,80.021834,direct,no
4,-0.0499,2561.24,sb,home,12900,76.635021,direct,no
?,?,?,sb,home,1920,92.22973,direct,yes
3.99,0.4159,4500,sb,home,4320,33.963816,direct,no
3.625,0.0936,6082.33,sb,home,8160,58.738602,direct,no
3.875,0.5432,10647.5,sb,home,4620,50.353107,direct,no
3.99,0.2214,3264.8,sb,home,10080,74.178832,direct,no
?,?,?,sb,home,4320,77.925532,direct,yes
?,?,?,sb,home,1980,76.376147,direct,yes
3.75,0.2142,7160.2,sb,home,3840,59.943182,direct,no
4.99,0.753,16337.5,sb,home,8520,69.3769,direct,no
5.125,1.0923,2970.75,sb,home,2040,33.527132,direct,no
4.75,0.7111,5849.1,sb,home,3180,72.48954,direct,no
3.5,-0.1432,3322.5,sb,home,6900,73.327465,direct,no
4.375,0.8093,3602.77,sb,home,7860,69.104803,direct,no
3.75,0.1442,1933.32,sb,home,4980,83.29918,direct,no
3.625,-0.143,0,sb,home,9420,59.969325,direct,no
3.99,0.0351,1295.91,sb,home,4080,89.304124,direct,no
?,?,?,sb,home,5580,50.762195,direct,yes
3.99,0.2799,270.01,sb,home,13140,68.714689,direct,no
4.375,0.6953,2495,sb,home,3600,62.957317,direct,no
3.75,0.3182,11945.5,sb,home,5280,82.894737,direct,no
4.125,0.3597,0,sb,home,7560,74.6139,direct,no
4.375,0.3534,5875.76,sb,home,12600,80.60472,direct,no
3.75,0.689,7736.47,sb,home,8280,75.07716,direct,no
4.75,0.8082,?,sb,home,1560,30.846774,direct,no
?,?,?,sb,home,1980,30.932203,direct,yes
3.75,0.1443,5786.46,sb,home,4320,55.930657,direct,no
4.625,0.6516,7777.62,sb,home,6540,54.022277,direct,no
5.125,1.3632,0,sb,home,15360,75.429799,direct,no
3.625,0.2617,638.58,sb,home,3360,77.853261,direct,no
3.99,0.2586,4987.5,sb,home,6420,57.466281,direct,no
?,?,?,sb,home,780,54.213483,direct,yes
4,-0.1205,7043.12,sb,home,7320,41.157074,direct,no
?,?,?,sb,home,1500,65.625,direct,yes
3.69,-0.0157,0,sb,home,2880,51.637555,direct,no
2.75,-0.0134,9838.75,sb,home,7320,47.270742,direct,no
5.375,0.6744,111.28,sb,home,6660,80.963303,direct,no
3.375,-0.0869,5250,sb,home,4140,59.33908,direct,no
4.5,0.4376,5047.34,sb,home,2280,46.50838,direct,no
3.75,0.2416,5824.03,sb,home,7440,53.961268,direct,no
3.875,1.2856,3035,sb,home,3120,83.203125,direct,no
2.875,0.1519,5233.39,sb,home,3840,88.56383,direct,no
4.5,0.7261,0,sb,home,14400,88.15407,direct,no
4.5,0.351,995,sb,home,3720,95.362903,direct,no
3.375,0.3925,1587.5,sb,home,4080,57.352941,direct,no
4.375,0.5927,3118.75,sb,home,1800,40.451389,direct,no
4.99,0.5771,850,sb,home,12780,56.578947,direct,no
3.875,0.4771,7692.5,sb,home,11220,87.060302,direct,no
5.25,1.4496,2638.35,sb,home,2820,56.648936,direct,no
?,?,?,sb,home,4020,77.877698,direct,yes
3.625,0.7637,4848.44,sb,home,5100,67.201835,direct,no
4.25,-0.0339,1247.66,sb,home,5700,91.089965,direct,no
4.75,1.4974,3618.75,sb,home,3600,71.067416,direct,no
2.99,0.0085,1608.48,sb,home,10680,27.430556,direct,no
4.99,1.3308,2000,sb,home,1500,16.688654,direct,no
4.75,0.3081,2955.45,sb,home,4140,85.550459,direct,no
3.875,0.2039,980,sb,home,3720,12.209302,direct,no
3.75,0.6227,1682.5,sb,home,7560,85.201149,direct,no
?,?,?,sb,home,1620,59.765625,direct,yes
?,?,?,sb,home,6360,66.337386,direct,yes
3.875,0.1779,1146.56,sb,home,13680,65.160891,direct,no
4.25,1.4971,5310,sb,home,7380,69.295302,direct,no
4.25,0.2407,8364.6,sb,home,28860,80.006031,direct,no
?,?,?,sb,home,5160,94.95614,direct,yes
3.99,0.3846,5001.06,sb,home,3240,80.03876,direct,no
3.99,0.6161,8750,sb,home,4140,62.867647,direct,no
4.375,0.8094,4760,sb,home,3720,64.756944,direct,no
4.75,0.3462,7654.08,sb,home,4680,74.68652,direct,no
?,?,?,sb,home,7200,94.730392,direct,yes
?,?,?,sb,home,3540,82.303371,direct,yes
3.625,0.5103,795,sb,home,3540,52.697842,direct,no
3.99,0.4679,7173.13,sb,home,5820,74.441341,direct,no
3.99,0.5239,2580.01,sb,home,3240,53.810976,direct,no
4.625,1.1615,2680.9,sb,home,3660,77.412281,direct,no
4.375,0.5001,3830.4,sb,home,2820,77.412281,direct,no
?,?,?,sb,home,3060,56.294964,direct,yes
4.25,-0.225,211.47,sb,home,6060,70.341981,direct,no
2.99,0.0352,9912.5,sb,home,16560,49.749499,direct,no
3.75,0.3402,4160.76,sb,home,7260,84.149485,direct,no
3.625,0.2013,7460,sb,home,5280,75.102459,direct,no
4.75,0.3198,4463.77,sb,home,3960,83.266129,direct,no
3.99,0.3987,1042.5,sb,home,5220,88.56383,direct,no
3.5,0.4201,171.2,sb,home,5220,84.388646,direct,no
3.5,0.7456,4076.61,sb,home,2040,63.888889,direct,no
4.18,0.0955,4075,sb,home,2700,59.892086,direct,no
3.375,-0.1317,1009.38,sb,home,3960,102.852349,direct,no
3.625,0.0622,0,sb,home,4380,77.853261,direct,no
3.99,0.4419,5101.63,sb,home,9300,99.342105,direct,no
3.625,0.498,0,sb,home,3240,75.793651,direct,no
3.625,0.1027,3913.48,sb,home,4860,61.548913,direct,no
3.375,-0.0133,10829,sb,home,8760,58.049242,direct,no
3.375,-0.2658,5746.57,sb,home,7440,89.862205,direct,no
3.5,0.0048,4037.5,sb,home,4680,99.157303,direct,no
4.75,0.5657,1923.38,sb,home,3900,99.242424,direct,no
?,?,?,sb,home,4980,87.377451,direct,yes
3.75,0.4791,3777.88,sb,home,7080,69.054878,direct,no
3.625,0.3319,3665.42,sb,home,3180,43.470149,direct,no
?,?,?,sb,home,10560,57.254464,direct,yes
3.875,0.3561,3421.81,sb,home,9840,103.171642,direct,no
4.375,1.0901,6957.83,sb,home,1800,42.61811,direct,no
3.5,0.1001,3905.11,sb,home,4080,80.783582,direct,no
3.875,0.5304,7750,sb,home,7440,71.648045,direct,no
?,?,?,sb,home,2400,98.469388,direct,yes
4.125,0.683,1972.5,sb,home,3540,88.56383,direct,no
?,?,?,sb,home,2400,95.168067,direct,yes
3.875,0.157,0,sb,home,7440,69.648829,direct,no
4.625,0.459,5081,sb,home,2520,79.040404,direct,no
4.375,0.0304,83.23,sb,home,6360,59.920635,direct,no
2.875,-0.0337,3000,sb,home,8760,67.045455,direct,no
4.25,0.4397,2786.88,sb,home,14460,89.446721,direct,no
3.625,0.2301,3650,sb,home,5820,57.352941,direct,no
3.875,0.3362,363.85,sb,home,4260,72.145669,direct,no
4.25,0.0634,0,sb,home,5940,46.596535,direct,no
4.75,1.4503,628,sb,home,2280,98.076923,direct,no
4.75,0.2048,3950.6,sb,home,3660,38.256785,direct,no
?,?,?,sb,home,7620,46.50838,direct,yes
4.5,1.7707,870.97,sb,home,2100,90.254237,direct,no
?,?,?,sb,home,1200,82.303371,direct,yes
3.75,0.0986,5690.32,sb,home,4980,84.547739,direct,no
3.25,-0.3493,5240,sb,home,3240,73.538961,direct,no
4.875,1.4632,9400,sb,home,3780,74.543379,direct,no
4.125,0.4317,84,sb,home,10320,93.674699,direct,no
4.5,0.4122,295,sb,home,3420,65.086207,direct,no
5.125,1.4656,2950.6,sb,home,4500,65.449438,direct,no
3.5,1.0977,3506.88,sb,home,7620,29.651163,direct,no
3.75,0.1199,2961.28,sb,home,5160,70.752896,direct,no
3.25,-0.2499,2721.75,sb,home,5940,96.006944,direct,no
4.56,0.9747,280.35,sb,home,4260,75.717703,direct,no
3.56,-0.0159,5062.5,sb,home,7440,89.172535,direct,no
4.25,0.3525,6730,sb,home,3360,77.515723,direct,no
2.75,-0.5963,12989.99,sb,home,29280,78.588328,direct,no
?,?,?,sb,home,10920,80.957944,direct,yes
3.625,0.1994,510,sb,home,2040,92.721519,direct,no
4.5,1.3016,1899.32,sb,home,1680,73.734177,direct,no
3.625,0.1027,1020.5,sb,home,12420,71.792763,direct,no
3.25,0.4947,13996.07,sb,home,4980,75.60241,direct,no
3.5,0.6815,9308.16,sb,home,5580,69.104803,direct,no
3.99,1.2369,3409.55,sb,home,2460,81.779661,direct,no
3.875,0.6626,1250,sb,home,9360,58.928571,direct,no
3.99,-0.0105,?,sb,home,7140,94.976636,direct,no
4.56,0.4354,5877.25,sb,home,16320,89.304124,direct,no
3.99,0.4739,3500,sb,home,1620,83.203125,direct,no
3.75,0.0671,7040.7,sb,home,7380,65.625,direct,no
3.625,-0.1423,999,sb,home,17040,70.244216,direct,no
4.25,1.1867,1883.98,sb,home,2040,97.794118,direct,no
4.99,0.2468,1150,sb,home,7500,78.474903,direct,no
3.5,0.7473,2996.88,sb,home,4920,34.577922,direct,no
3.125,0.1107,4937.19,sb,home,4260,87.921348,direct,no
4.375,0.8101,7830,sb,home,4980,78.20122,direct,no
3.25,-0.3326,181.92,sb,home,3240,39.219114,direct,no
4.75,0.4971,3960,sb,home,2640,77.412281,direct,no
4.625,1.1251,900,sb,home,2760,71.067416,direct,no
4.99,1.0526,2205,sb,home,3600,80.063291,direct,no
4.25,1.3725,4264.75,sb,home,6540,94.724771,direct,no
?,?,?,sb,home,4500,93.238994,direct,yes
3.625,0.0627,6231.25,sb,home,9780,51.984127,direct,no
?,?,?,sb,home,1440,63.888889,direct,yes
?,?,?,sb,home,1620,95.362903,direct,yes
3.99,0.4757,5138.5,sb,home,6240,58.054893,direct,no
3.69,-0.038,0,sb,home,9240,77.468153,direct,no
4.99,0.5534,2062,sb,home,5460,80.019685,direct,no
3.625,-0.023,0,sb,home,9480,77.815934,direct,no
4.25,0.9607,5008.44,sb,home,3900,71.788991,direct,no
?,?,?,sb,home,2040,80.048077,direct,yes
4.375,0.161,4183,sb,home,8460,75.887574,direct,no
5.125,0.714,1331.8,sb,home,9540,86.710037,direct,no
3.625,0.6442,6213.75,sb,home,7860,51.044568,direct,no
3.5,0.0126,16698,sb,home,14160,46.833534,direct,no
3.375,-0.1515,2808,sb,home,5520,96.14094,direct,no
3.99,0.6231,7151.64,sb,home,2820,70.502645,direct,no
3.5,0.2279,8365.63,sb,home,5100,77.515723,direct,no
4.125,0.6681,922.44,sb,home,10560,71.788991,direct,no
?,?,?,sb,home,9060,83.077994,direct,yes
?,?,?,sb,home,2700,55.699088,direct,yes
3.99,0.7103,7231.25,sb,home,5280,77.573529,direct,no
3.5,-0.0076,0,sb,home,5220,64.121339,direct,no
4.875,0.933,1011.61,sb,home,840,83.088235,direct,no
3.25,0.022,0,sb,home,12240,19.116415,direct,no
5.75,1.4549,1036.13,sb,home,1740,73.734177,direct,no
?,?,?,sb,home,8460,85.86351,direct,yes
4.125,1.0795,2717.92,sb,home,8100,75.793651,direct,no
3.875,0.338,13400,sb,home,6000,68.47166,direct,no
3.99,0.2532,508.56,sb,home,2820,69.295302,direct,no
4.625,1.2692,2238,sb,home,2760,35.37234,direct,no
?,?,?,sb,home,7500,105.962343,direct,yes
3.625,-0.2131,1287.66,sb,home,8280,67.75766,direct,no
?,?,?,sb,home,2580,86.184211,direct,yes
4.56,0.4183,0,sb,home,12180,68.997797,direct,no
4.375,0.1739,121.32,sb,home,5940,64.112903,direct,no
4.25,0.6682,1900,sb,home,5700,20.646438,direct,no
?,?,?,sb,home,420,87.679426,direct,yes
5,0.836,0,sb,home,6000,90.057915,direct,no
4.99,0.6831,2096.47,sb,home,8880,49.213836,direct,no
3.5,-0.0085,3162.5,sb,home,6060,73.706897,direct,no
4,0.2173,1646.4,sb,home,5100,73.698885,direct,no
4.625,0.4586,3596.68,sb,home,2700,49.161074,direct,no
3.875,0.0217,70.97,sb,home,10920,81.988189,direct,no
3.625,0.3204,6765.2,sb,home,5820,36.819728,direct,no
3.75,0.2084,15283.94,sb,home,8400,77.320359,direct,no
?,?,?,sb,home,360,43.303571,direct,yes
3.69,0.0818,491.45,sb,home,3780,83.805031,direct,no
4.25,1.0215,3955,sb,home,7260,84.514925,direct,no
4.125,-0.1643,7837.5,sb,home,2940,82.47549,direct,no
4.5,0.5826,295,sb,home,7380,86.392405,direct,no
4.375,0.1186,3977.5,sb,home,4620,59.228188,direct,no
3.5,-0.1682,0,sb,home,5820,93.994413,direct,no
3.625,0.4121,5685.31,sb,home,4680,94.471154,direct,no
4.875,0.4218,0,sb,home,4800,40.975936,direct,no
5.25,0.8875,0,sb,home,13560,80.380334,direct,no
3.875,0.1481,0,sb,home,7260,70.712209,direct,no
3.75,0.9765,4603.88,sb,home,4260,57.8125,direct,no
?,?,?,sb,home,2040,80.063291,direct,yes
4.5,0.7686,1440.35,sb,home,4260,65.921409,direct,no
3.5,-0.148,0,sb,home,6060,78.295129,direct,no
4.25,0.9618,1477.17,sb,home,1980,83.244681,direct,no
5.5,0.8381,0,sb,home,3060,93.238994,direct,no
3.75,0.0664,7500,sb,home,6420,79.43314,direct,no
4.56,0.5468,2400,sb,home,1560,90.254237,direct,no
?,?,?,sb,home,2100,77.877698,direct,yes
3.875,0.3471,6628.75,sb,home,7200,75.111607,direct,no
4.99,1.4456,4555,sb,home,2040,47.713415,direct,no
3.75,-0.0909,1876.7,sb,home,14340,65.17341,direct,no
3.99,0.2536,5570,sb,home,9000,38.557858,direct,no
?,?,?,sb,home,7980,73.538961,direct,yes
?,?,?,sb,home,2820,71.959459,direct,yes
4.125,0.0397,?,sb,home,9900,67.569124,direct,no
?,?,?,sb,home,2220,30.034722,direct,yes
4.375,0.1752,4791.25,sb,home,3840,32.319079,direct,no
?,?,?,sb,home,4980,81.47482,direct,yes
4.25,0.3463,1615.96,sb,home,8580,93.445122,direct,no
4,-0.0943,?,sb,home,8820,56.456612,direct,no
?,?,?,sb,home,5940,67.95977,direct,yes
4.5,1.0833,1664.43,sb,home,4260,46.010638,direct,no
4.25,-0.0133,6239,sb,home,7020,80.570652,direct,no
3.625,0.5297,1250,sb,home,9720,76.433692,direct,no
3.5,0.8328,3271.72,sb,home,3600,51.201923,direct,no
3.99,0.287,795,sb,home,2400,86.184211,direct,no
3.99,0.5205,3532.75,sb,home,5880,86.858974,direct,no
?,?,?,sb,home,12840,75.051653,direct,yes
4.125,1.4742,1810.18,sb,home,2040,61.574074,direct,no
4.5,0.9265,7855,sb,home,8760,90.396341,direct,no
3.875,0.3045,1005.35,sb,home,8040,93.639053,direct,no
3.625,-0.2133,74,sb,home,10740,28.248899,direct,no
?,?,?,sb,home,6000,94.59799,direct,yes
3.99,0.5266,2609.8,sb,home,5520,80.02451,direct,no
3.5,-0.0102,5000,sb,home,4200,81.808036,direct,no
4.375,0.1678,0,sb,home,9420,71.917148,direct,no
3.49,-0.4337,0,sb,home,2880,99.369748,direct,no
4.625,0.1411,0,sb,home,5940,87.679426,direct,no
3.75,0.4598,5771.48,sb,home,12960,83.956693,direct,no
4.5,0.7068,1160,sb,home,3300,56.11413,direct,no
4.875,1.0366,0,sb,home,8460,78.286638,direct,no
3.5,0.5369,0,sb,home,5940,85.041841,direct,no
3.875,0.4014,7450,sb,home,6960,67.628205,direct,no
4.99,1.3561,2795.5,sb,home,2460,58.395522,direct,no
3.99,0.352,0,sb,home,3240,32.579462,direct,no
4.375,0.4548,0,sb,home,2040,99.242424,direct,no
4.18,-0.0503,0,sb,home,9540,43.338558,direct,no
4,-0.062,950,sb,home,7560,72.097625,direct,no
3.49,0.1851,2935.37,sb,home,900,51.488095,direct,no
4.5,1.9083,1073.5,sb,home,2460,97.794118,direct,no
?,?,?,sb,home,4320,44.318182,direct,yes
4.5,0.7653,7908.09,sb,home,6360,80.016447,direct,no
4.25,-0.1812,2402.24,sb,home,9060,78.236041,direct,no
?,?,?,sb,home,7740,86.272321,direct,yes
4.56,0.4651,0,sb,home,6960,35.30479,direct,no
3.75,0.9753,4143.36,sb,home,2880,57.305195,direct,no
?,?,?,sb,home,5460,89.359862,direct,yes
4.625,0.8813,4189.47,sb,home,3720,88.56383,direct,no
3.75,0.2576,4643.65,sb,home,4560,35.906863,direct,no
?,?,?,sb,home,1440,58.838384,direct,yes
3,-0.288,1570,sb,home,4500,36.565421,direct,no
3.75,0.4301,9049,sb,home,4680,51.344086,direct,no
4.56,0.2486,3201.68,sb,home,7560,57.045929,direct,no
3.99,1.3476,6635.6,sb,home,4740,80.03876,direct,no
4.75,0.563,1690,sb,home,10500,80.011013,direct,no
3.99,0.4543,7703.77,sb,home,4680,70.220588,direct,no
3.99,0.2872,4275,sb,home,16080,51.865672,direct,no
4.99,1.3069,1134.46,sb,home,2460,76.685393,direct,no
3.875,0.6922,0,sb,home,5100,96.006944,direct,no
3.5,0.559,2431.08,sb,home,1260,75.297619,direct,no
4.625,1.0813,3087.5,sb,home,3060,88.669065,direct,no
4.875,0.7743,4960,sb,home,8640,69.981413,direct,no
?,?,?,sb,home,5160,99.395161,direct,yes
4,-0.308,0,sb,home,6660,69.3769,direct,no
5.5,1.4,2594,sb,home,2760,64.830508,direct,no
4.375,0.2224,1822.8,sb,home,6300,62.554585,direct,no
3.375,-0.2094,8150,sb,home,3480,59.580292,direct,no
?,?,?,sb,home,8340,74.364407,direct,yes
4.5,0.933,947.6,sb,home,6840,86.764706,direct,no
3.99,0.9778,1786.54,sb,home,5220,63.731061,direct,no
4.99,0.7822,1423.13,sb,home,12960,90.966387,direct,no
2.99,0.0083,4009.27,sb,home,14220,49.670185,direct,no
3,0.1579,407.06,sb,home,6480,95.305677,direct,no
4.25,0.632,0,sb,home,5040,90.246212,direct,no
4.625,1.8949,2309.97,sb,home,7920,74.159664,direct,no
2.75,-0.1422,7031.15,sb,home,7200,46.919014,direct,no
4.875,0.9896,0,sb,home,3660,94.95614,direct,no
4.5,0.3468,2743,sb,home,7560,54.179331,direct,no
3.99,0.5282,4428.5,sb,home,7200,65.21164,direct,no
3.375,-0.183,4226.62,sb,home,13080,74.68652,direct,no
4.375,1.207,4414,sb,home,2040,99.107143,direct,no
3.99,1.0428,4130,sb,home,6000,73.200758,direct,no
3.49,0.9585,5972.68,sb,home,8040,99.395161,direct,no
?,?,?,sb,home,2640,86.764706,direct,yes
3.625,0.6441,109.43,sb,home,1020,71.959459,direct,no
?,?,?,sb,home,23340,63.451987,direct,yes
4.75,0.2723,0,sb,home,10140,71.551724,direct,no
3.99,0.1245,5814.5,sb,home,2820,58.971292,direct,no
5.625,1.3905,4016,sb,home,5400,75.793651,direct,no
3.99,0.3532,4050,sb,home,7860,80.027933,direct,no
3.625,0.8591,4850.45,sb,home,5880,72.651007,direct,no
3.625,0.6708,5650,sb,home,19380,80.02451,direct,no
4.75,1.1025,598.16,sb,home,6720,93.994413,direct,no
4.375,0.2226,0,sb,home,17760,80.007645,direct,no
3.875,0.2988,2166.19,sb,home,5100,83.805031,direct,no
4.625,1.2012,10572.5,sb,home,4200,78.621495,direct,no
3.875,0.0376,1250,sb,home,4200,91.330645,direct,no
3,-0.2329,7586.88,sb,home,11100,72.058824,direct,no
4.5,0.9485,2444.5,sb,home,5280,93.154762,direct,no
4,0.3392,2729.7,sb,home,3660,67.769608,direct,no
4.99,0.6828,8576.03,sb,home,8700,96.214789,direct,no
4,0.0262,7029.42,sb,home,7200,90.246212,direct,no
3.625,0.467,0,sb,home,9900,59.965831,direct,no
3.75,-0.0161,995.14,sb,home,10200,74.456522,direct,no
3.75,0.6087,946.04,sb,home,11100,66.213389,direct,no
3.5,-0.138,0,sb,home,10500,44.739479,direct,no
3.99,0.3209,8918.75,sb,home,7200,90.736607,direct,no
?,?,?,sb,home,7080,69.648829,direct,yes
4.5,0.5826,295,sb,home,7380,86.392405,direct,no
4,0.0209,3629.03,sb,home,9780,71.365422,direct,no
4.125,-0.0953,8224,sb,home,5340,43.055556,direct,no
3.75,0.5685,4327.48,sb,home,2640,98.913043,direct,no
3.99,0.2946,0,sb,home,9420,60.210396,direct,no
4.875,1.0094,0,sb,home,6900,94.730392,direct,no
4.25,0.1464,0,sb,home,14640,76.862464,direct,no
4.25,0.1492,3697.2,sb,home,2040,79.233871,direct,no
3.99,0.5703,8188.79,sb,home,7860,74.665552,direct,no
3.625,0.6486,4135,sb,home,4800,79.362416,direct,no
3.99,0.5573,18590,sb,home,6660,73.159898,direct,no
4.625,1.0072,3170.69,sb,home,5100,85.071942,direct,no
4.375,0.5249,0,sb,home,16500,13.254172,direct,no
4.56,0.2102,3587.5,sb,home,4440,56.004367,direct,no
4.875,1.2587,1310.73,sb,home,5520,84.763314,direct,no
?,?,?,sb,home,2880,69.472362,direct,yes
4.18,0.0734,0,sb,home,14700,36.359127,direct,no
4.375,0.4456,10331.56,sb,home,7980,65.921409,direct,no
5.25,1.4076,3343,sb,home,3600,75.297619,direct,no
?,?,?,sb,home,13920,40.284974,direct,yes
4.56,0.4753,3900,sb,home,4320,68.685567,direct,no
3.75,1.3839,3411,sb,home,3000,35.091743,direct,no
4.75,0.8162,0,sb,home,12720,83.026756,direct,no
4,0.2706,3176.29,sb,home,9960,78.979239,direct,no
5.375,1.3226,2886,sb,home,4200,67.578125,direct,no
4.75,0.1493,607,sb,home,12360,65.344311,direct,no
3.875,0.1736,4106.25,sb,home,4740,77.877698,direct,no
3.5,0.0907,6543.64,sb,home,8280,34.606825,direct,no
4.99,0.8939,2093.5,sb,home,5940,85.472973,direct,no
3.5,0.8619,3679.96,sb,home,2280,90.137615,direct,no
4.125,1.193,4240.12,sb,home,6300,73.320896,direct,no
3.75,0.2021,5000,sb,home,9300,73.867314,direct,no
3.5,0.2116,11611.25,sb,home,9120,69.835329,direct,no
3.75,0.1308,?,sb,home,7380,49.670185,direct,no
4.875,1.0231,1062.5,sb,home,2280,78.061224,direct,no
3.99,0.3942,90.33,sb,home,10020,59.25254,direct,no
?,?,?,sb,home,12000,57.735149,direct,yes
3.5,-0.0402,2820.85,sb,home,5100,68.503289,direct,no
3.99,0.2223,750,sb,home,10800,68.714689,direct,no
3.99,0.2406,5565.38,sb,home,4020,41.402116,direct,no
4.99,0.8364,1150,sb,home,2100,98.469388,direct,no
3.99,0.5223,8262.5,sb,home,4140,73.706897,direct,no
3.625,-0.1167,17863.75,sb,home,15360,79.47695,direct,no
4,0.2683,8254.8,sb,home,12360,80.563187,direct,no
?,?,?,sb,home,5460,90.948276,direct,yes
4,-0.0943,0,sb,home,5340,37.338362,direct,no
?,?,?,sb,home,8880,56.543321,direct,yes
4.25,0.2523,15634,sb,home,7980,85.651408,direct,no
4.25,0.722,2926.36,sb,home,2760,63.392857,direct,no
3.99,1.2247,2299.45,sb,home,5940,95.863309,direct,no
4.375,0.1242,2536.88,sb,home,6840,68.081761,direct,no
3.99,0.3913,5003.75,sb,home,6120,61.71875,direct,no
4.125,0.5598,4471.78,sb,home,2640,68.640351,direct,no
4.5,0.8549,0,sb,home,7440,79.70679,direct,no
3.75,0.6201,1250,sb,home,28920,53.700658,direct,no
3.125,-0.4768,0,sb,home,11700,89.304124,direct,no
3.75,1.3025,3406.25,sb,home,2640,59.765625,direct,no
4.875,0.5807,1446.25,sb,home,3420,45.155039,direct,no
4.5,0.6118,9393,sb,home,10320,88.61465,direct,no
4.75,1.471,3404,sb,home,6720,75.390625,direct,no
4.5,1.1278,6435,sb,home,4680,80.032468,direct,no
4.75,0.7839,0,sb,home,4800,95.200893,direct,no
?,?,?,sb,home,1440,28.084416,direct,yes
4.625,0.8992,786.41,sb,home,9120,77.01005,direct,no
?,?,?,sb,home,1620,84.42029,direct,yes
4.375,0.9735,0,sb,home,4680,97.036082,direct,no
4.125,-0.2002,5197.6,sb,home,7740,70.32872,direct,no
?,?,?,sb,home,38880,56.701632,direct,yes
4.25,0.5309,6721,sb,home,6540,80.032468,direct,no
?,?,?,sb,home,4260,80.02451,direct,yes
4.375,1.2678,3365.73,sb,home,2040,80.092593,direct,no
2.99,0.3057,5194.75,sb,home,5040,61.284722,direct,no
4.125,0.7646,2882.5,sb,home,3600,24.837662,direct,no
4.125,0.7912,5494.41,sb,home,8280,75.13587,direct,no
4.75,0.003,1030,sb,home,9120,73.327465,direct,no
3.99,1.4857,3251.3,sb,home,6600,99.107143,direct,no
